USER_ID,ITEM
uf8etbyo,rsu
5axgcy7c,rgk
eocxmuzn,msc
fhspix8i,oid
r6extbym,eld
jlvw393t,kea
f82jxdbq,zxe
7wyk61h1,nam
sfumpe7z,zxe
tc86epog,rhr
nt94mcku,jxy
rgbyhvox,gvs
dg76pqaw,mll
huqnr9a3,rhr
qulfdizr,xvc
0r2pkuvs,pga
a7g2jkyr,zxe
shby1kfj,zkb
sk7tia1q,hvl
z8epgehk,pgi
ev1a14f4,akb
d8jsocac,bzx
qi9q9xf5,zvz
s9k3b1bh,csu
06c7mcu9,wpz
h77jjrdl,wpz
s92lf2gd,xzh
2sktkjxd,hiy
r5kjbdle,ukz
8z6xzjhb,ryy
r8zm5ybf,pgi
e782mopp,xzh
jkmqkd4a,oei
g3fghmjz,msc
wrkuh4qv,hiy
har46l24,msc
xkoeatrt,ryy
ndwm5jp9,xuk
m2og6p52,ugd
02gfkw7b,mwc
wt1hew48,qtt
lnnsm9cr,kii
n38chqry,nvk
mu7pfixg,rxm
b5x0uep8,rxm
fe2frkij,wvt
n0t0uty1,tlb
yihznkdd,akb
k7yqwqv3,esu
c7renybl,agg
amheugua,mwn
zdhjd6b3,zxe
4rg5ec9b,dip
rj16rjz7,xzh
e1345q5p,bzx
a8h03rv2,yqi
mggf7rmx,rhr
ouqpdvhw,uut
fn8w1tn4,ezq
o43cl397,rhv
f98jane3,qvz
u7vt9o8h,qvz
oskczo05,ljj
xn1fhgbe,zxe
89oirogg,zvz
x3rpt427,xzh
or8g0h5m,lre
x9luyuh3,bju
s6lookn8,qyl
ealwxmpk,kju
mmzguaqt,gvs
celajkzt,dnl
ijmo16te,zxe
81lowio7,nam
8nwucot2,pga
e9reeq97,rwl
roatkz2f,wpz
a1u37tq6,wvt
bqglcwww,xhj
cqbhw566,wvt
zqk9c8i5,akb
i6pftptc,rwl
5jgj0aun,yqi
c1uge0u3,wze
6p59kyg5,zvz
0g26hpny,kea
k86nxkx0,xpf
6hmbjta1,rxm
3cuvja1h,agg
c6wi6w0s,ppz
4yncrm56,akb
vdzljiu6,ugx
qcdnwy2q,qyl
l2uumcwa,bdl
ed5315n2,gaf
3x33al8g,xvc
uq11ysdu,pgi
en9bf5ya,csu
woc0ol0c,lre
xcglny9u,lre
zejg29wc,xzh
qaskwea3,ezq
tttd8tzm,ktv
r6extbym,ljj
kw8y76vb,oid
q0ryukh6,ljj
iz5qzwhi,rsu
y721ggps,xhj
hvh2fwz8,rwl
jc92shne,jas
tp41asbp,qzy
ihxnte4d,dnl
mmzguaqt,wze
ledcp7k8,yqi
prn6qw7d,hiy
d1d8u19x,rgk
exdy81w2,dip
43ojdl9l,yqi
i688jvx5,jwu
64ynia8d,msc
eokh4m6b,yqi
b1yc7lmm,zxe
5plptcpt,zkj
jc1xobpu,tnn
hqs4bid3,kka
xyevnapg,zkb
nbh1x38p,bdl
td0fkoml,fhx
rzqrgun7,oyy
xzgburu8,dip
drc6q7rf,oyy
7vtji8nv,zpa
m9kfpmrr,ljj
18do44h5,kii
0h42gyog,jxy
m8x4tsuu,hcc
nh0vx6el,ezq
h6qhr8s8,xhj
0rd1btxy,rxr
mbvb62mw,pme
fpkx80rs,nam
bcjb5til,win
a8h03rv2,bdl
vgojkstr,win
jzw5993j,hiy
swr8dja2,gxs
c6b65jll,ktv
kj19qjg2,pga
8mco3bzg,qvz
r7h6adzz,jag
fyqu04w4,pga
nlvgw7r4,hvl
dmbf2lme,hiy
jz3ohapv,agg
